epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2080.72,1.54818,3.61536,1.67728,0.48564,0.2041,0.14133,0.08249,1.62899,3.79896,1.8856,0.000158514,0.000158514,0.000158514
2,4242.94,1.55408,2.95372,1.67753,0.52846,0.23304,0.19556,0.1135,1.58185,3.10869,1.88019,0.00030148,0.00030148,0.00030148
3,6262.84,1.52666,2.74976,1.66622,0.48107,0.21987,0.18995,0.11082,1.58867,3.03653,1.86749,0.000428738,0.000428738,0.000428738
4,8286.16,1.53145,2.60101,1.66933,0.54475,0.27497,0.25493,0.15082,1.50967,2.69945,1.77813,0.000405314,0.000405314,0.000405314
5,10308.8,1.47724,2.42033,1.62245,0.62648,0.25194,0.26224,0.1507,1.5088,2.61951,1.76992,0.000381752,0.000381752,0.000381752
6,12328.5,1.46479,2.2995,1.60629,0.69396,0.30444,0.32177,0.19713,1.43987,2.23471,1.72459,0.00035819,0.00035819,0.00035819
7,14342.9,1.43412,2.19271,1.58651,0.67605,0.29222,0.33002,0.20393,1.44849,2.22326,1.72613,0.000334628,0.000334628,0.000334628
8,16392.1,1.42304,2.10936,1.58009,0.62057,0.31403,0.33437,0.20518,1.45637,2.07916,1.72068,0.000311066,0.000311066,0.000311066
9,18405.4,1.41379,2.05839,1.56576,0.71052,0.30536,0.33058,0.19769,1.48787,2.09845,1.78278,0.000287504,0.000287504,0.000287504
10,20418,1.39118,1.96999,1.55375,0.60733,0.37626,0.35478,0.21444,1.43854,1.97342,1.70603,0.000263942,0.000263942,0.000263942
11,22416.2,1.38411,1.9238,1.59772,0.76477,0.32089,0.39118,0.2391,1.38713,1.91289,1.65633,0.00024038,0.00024038,0.00024038
12,24417.9,1.36288,1.79893,1.58521,0.69738,0.35956,0.39583,0.24453,1.38221,1.84377,1.65782,0.000216818,0.000216818,0.000216818
13,26414,1.34108,1.69505,1.56614,0.68963,0.38523,0.39579,0.23788,1.40204,1.80957,1.68745,0.000193256,0.000193256,0.000193256
14,28406.9,1.32421,1.64649,1.54834,0.58104,0.37119,0.39113,0.2468,1.36443,1.80304,1.64552,0.000169694,0.000169694,0.000169694
15,30402.3,1.2966,1.58406,1.53186,0.61401,0.39406,0.41302,0.25544,1.35298,1.70702,1.61698,0.000146132,0.000146132,0.000146132
16,32397.1,1.28261,1.52508,1.51366,0.59537,0.40212,0.4142,0.25395,1.36861,1.71786,1.63572,0.00012257,0.00012257,0.00012257
17,34395.4,1.26,1.4884,1.50278,0.58633,0.41192,0.41577,0.25825,1.33827,1.69456,1.61025,9.9008e-05,9.9008e-05,9.9008e-05
18,36388.8,1.24638,1.42095,1.47591,0.5518,0.46077,0.43401,0.27096,1.34212,1.6143,1.60396,7.5446e-05,7.5446e-05,7.5446e-05
19,38384.6,1.22627,1.4039,1.47161,0.60069,0.44029,0.44783,0.27581,1.33013,1.58973,1.58671,5.1884e-05,5.1884e-05,5.1884e-05
20,40397.8,1.2257,1.37373,1.45806,0.59144,0.44858,0.44607,0.28052,1.31499,1.56514,1.57696,2.8322e-05,2.8322e-05,2.8322e-05
